nuts2_id,country,r_value,eligible_lt75,category_2014_2020,ref_years_used
AL01,AL,21,1,less_developed,"2008,2009"
AL02,AL,35.5,1,less_developed,"2008,2009"
AL03,AL,22,1,less_developed,"2008,2009"
AT11,AT,81.66666667,0,transition,"2007,2008,2009"
AT12,AT,103.3333333,0,more_developed,"2007,2008,2009"
AT13,AT,163.3333333,0,more_developed,"2007,2008,2009"
AT21,AT,109,0,more_developed,"2007,2008,2009"
AT22,AT,113.3333333,0,more_developed,"2007,2008,2009"
AT31,AT,127.3333333,0,more_developed,"2007,2008,2009"
AT32,AT,144.3333333,0,more_developed,"2007,2008,2009"
AT33,AT,128,0,more_developed,"2007,2008,2009"
AT34,AT,130.3333333,0,more_developed,"2007,2008,2009"
BE10,BE,223.6666667,0,more_developed,"2007,2008,2009"
BE21,BE,138.6666667,0,more_developed,"2007,2008,2009"
BE22,BE,96,0,more_developed,"2007,2008,2009"
BE23,BE,105.6666667,0,more_developed,"2007,2008,2009"
BE24,BE,124.3333333,0,more_developed,"2007,2008,2009"
BE25,BE,111.3333333,0,more_developed,"2007,2008,2009"
BE31,BE,123.6666667,0,more_developed,"2007,2008,2009"
BE32,BE,76,0,transition,"2007,2008,2009"
BE33,BE,85.66666667,0,transition,"2007,2008,2009"
BE34,BE,77.66666667,0,transition,"2007,2008,2009"
BE35,BE,81.33333333,0,transition,"2007,2008,2009"
BG31,BG,27.66666667,1,less_developed,"2007,2008,2009"
BG32,BG,29.66666667,1,less_developed,"2007,2008,2009"
BG33,BG,36,1,less_developed,"2007,2008,2009"
BG34,BG,35,1,less_developed,"2007,2008,2009"
BG41,BG,71,1,less_developed,"2007,2008,2009"
BG42,BG,30,1,less_developed,"2007,2008,2009"
CY00,CY,106.3333333,0,more_developed,"2007,2008,2009"
CZ01,CZ,191.3333333,0,more_developed,"2007,2008,2009"
CZ02,CZ,81.33333333,0,transition,"2007,2008,2009"
CZ03,CZ,72.33333333,1,less_developed,"2007,2008,2009"
CZ04,CZ,64.66666667,1,less_developed,"2007,2008,2009"
CZ05,CZ,68.66666667,1,less_developed,"2007,2008,2009"
CZ06,CZ,76.66666667,0,transition,"2007,2008,2009"
CZ07,CZ,65.33333333,1,less_developed,"2007,2008,2009"
CZ08,CZ,69.33333333,1,less_developed,"2007,2008,2009"
DE11,DE,150.6666667,0,more_developed,"2007,2008,2009"
DE12,DE,135.6666667,0,more_developed,"2007,2008,2009"
DE13,DE,113,0,more_developed,"2007,2008,2009"
DE14,DE,123.6666667,0,more_developed,"2007,2008,2009"
DE21,DE,168.3333333,0,more_developed,"2007,2008,2009"
DE22,DE,110.3333333,0,more_developed,"2007,2008,2009"
DE23,DE,116,0,more_developed,"2007,2008,2009"
DE24,DE,103.6666667,0,more_developed,"2007,2008,2009"
DE25,DE,127.3333333,0,more_developed,"2007,2008,2009"
DE26,DE,116.3333333,0,more_developed,"2007,2008,2009"
DE27,DE,113.3333333,0,more_developed,"2007,2008,2009"
DE30,DE,113.6666667,0,more_developed,"2007,2008,2009"
DE40,DE,82,0,transition,"2007,2008,2009"
DE50,DE,153.6666667,0,more_developed,"2007,2008,2009"
DE60,DE,207.6666667,0,more_developed,"2007,2008,2009"
DE71,DE,165.6666667,0,more_developed,"2007,2008,2009"
DE72,DE,105.3333333,0,more_developed,"2007,2008,2009"
DE73,DE,108,0,more_developed,"2007,2008,2009"
DE80,DE,77.66666667,0,transition,"2007,2008,2009"
DE91,DE,126.6666667,0,more_developed,"2007,2008,2009"
DE92,DE,114.6666667,0,more_developed,"2007,2008,2009"
DE93,DE,79.66666667,0,transition,"2007,2008,2009"
DE94,DE,101,0,more_developed,"2007,2008,2009"
DEA1,DE,132,0,more_developed,"2007,2008,2009"
DEA2,DE,129,0,more_developed,"2007,2008,2009"
DEA3,DE,102,0,more_developed,"2007,2008,2009"
DEA4,DE,111,0,more_developed,"2007,2008,2009"
DEA5,DE,104,0,more_developed,"2007,2008,2009"
DEB1,DE,96,0,more_developed,"2007,2008,2009"
DEB2,DE,89.33333333,0,transition,"2007,2008,2009"
DEB3,DE,110,0,more_developed,"2007,2008,2009"
DEC0,DE,113.6666667,0,more_developed,"2007,2008,2009"
DED2,DE,87.66666667,0,transition,"2007,2008,2009"
DED4,DE,79.66666667,0,transition,"2007,2008,2009"
DED5,DE,90.66666667,0,more_developed,"2007,2008,2009"
DEE0,DE,80,0,transition,"2007,2008,2009"
DEF0,DE,97.66666667,0,more_developed,"2007,2008,2009"
DEG0,DE,78.66666667,0,transition,"2007,2008,2009"
DK01,DK,153.6666667,0,more_developed,"2007,2008,2009"
DK02,DK,87.33333333,0,transition,"2007,2008,2009"
DK03,DK,113.6666667,0,more_developed,"2007,2008,2009"
DK04,DK,116.3333333,0,more_developed,"2007,2008,2009"
DK05,DK,109.3333333,0,more_developed,"2007,2008,2009"
EE00,EE,68.33333333,1,less_developed,"2007,2008,2009"
EL30,EL,124.3333333,0,more_developed,"2007,2008,2009"
EL41,EL,74,1,less_developed,"2007,2008,2009"
EL42,EL,103,0,more_developed,"2007,2008,2009"
EL43,EL,81.66666667,0,transition,"2007,2008,2009"
EL51,EL,66,1,less_developed,"2007,2008,2009"
EL52,EL,74.66666667,1,less_developed,"2007,2008,2009"
EL53,EL,77.66666667,0,transition,"2007,2008,2009"
EL54,EL,62.33333333,1,less_developed,"2007,2008,2009"
EL61,EL,70,1,less_developed,"2007,2008,2009"
EL62,EL,91,0,more_developed,"2007,2008,2009"
EL63,EL,70.66666667,1,less_developed,"2007,2008,2009"
EL64,EL,84.33333333,0,transition,"2007,2008,2009"
EL65,EL,75.66666667,0,transition,"2007,2008,2009"
ES11,ES,89.33333333,0,transition,"2007,2008,2009"
ES12,ES,92.66666667,0,more_developed,"2007,2008,2009"
ES13,ES,96.66666667,0,more_developed,"2007,2008,2009"
ES21,ES,129.3333333,0,more_developed,"2007,2008,2009"
ES22,ES,127,0,more_developed,"2007,2008,2009"
ES23,ES,110,0,more_developed,"2007,2008,2009"
ES24,ES,112.3333333,0,more_developed,"2007,2008,2009"
ES30,ES,137.3333333,0,more_developed,"2007,2008,2009"
ES41,ES,94.33333333,0,more_developed,"2007,2008,2009"
ES42,ES,84.33333333,0,transition,"2007,2008,2009"
ES43,ES,73,1,less_developed,"2007,2008,2009"
ES51,ES,120,0,more_developed,"2007,2008,2009"
ES52,ES,92,0,more_developed,"2007,2008,2009"
ES53,ES,111.6666667,0,more_developed,"2007,2008,2009"
ES61,ES,79,0,transition,"2007,2008,2009"
ES62,ES,87,0,transition,"2007,2008,2009"
ES63,ES,83.33333333,0,transition,"2007,2008,2009"
ES64,ES,80.33333333,0,transition,"2007,2008,2009"
ES70,ES,87,0,transition,"2007,2008,2009"
FI19,FI,108.6666667,0,more_developed,"2007,2008,2009"
FI1B,FI,163.6666667,0,more_developed,"2007,2008,2009"
FI1C,FI,108,0,more_developed,"2007,2008,2009"
FI1D,FI,97,0,more_developed,"2007,2008,2009"
FI20,FI,140,0,more_developed,"2007,2008,2009"
FR10,FR,176,0,more_developed,"2007,2008,2009"
FRB0,FR,93.33333333,0,more_developed,"2007,2008,2009"
FRC1,FR,93.66666667,0,more_developed,"2007,2008,2009"
FRC2,FR,88.66666667,0,transition,"2007,2008,2009"
FRD1,FR,89,0,transition,"2007,2008,2009"
FRD2,FR,97,0,more_developed,"2007,2008,2009"
FRE1,FR,89.33333333,0,transition,"2007,2008,2009"
FRE2,FR,84.66666667,0,transition,"2007,2008,2009"
FRF1,FR,103.3333333,0,more_developed,"2007,2008,2009"
FRF2,FR,97,0,more_developed,"2007,2008,2009"
FRF3,FR,85.66666667,0,transition,"2007,2008,2009"
FRG0,FR,96.66666667,0,more_developed,"2007,2008,2009"
FRH0,FR,92.33333333,0,more_developed,"2007,2008,2009"
FRI1,FR,96.33333333,0,more_developed,"2007,2008,2009"
FRI2,FR,84.33333333,0,transition,"2007,2008,2009"
FRI3,FR,87.33333333,0,transition,"2007,2008,2009"
FRJ1,FR,85,0,transition,"2007,2008,2009"
FRJ2,FR,95.66666667,0,more_developed,"2007,2008,2009"
FRK1,FR,86.66666667,0,transition,"2007,2008,2009"
FRK2,FR,110,0,more_developed,"2007,2008,2009"
FRL0,FR,100.6666667,0,more_developed,"2007,2008,2009"
FRM0,FR,83.66666667,0,transition,"2007,2008,2009"
FRY1,FR,67.33333333,1,less_developed,"2007,2008,2009"
FRY2,FR,69.33333333,1,less_developed,"2007,2008,2009"
FRY3,FR,50.33333333,1,less_developed,"2007,2008,2009"
FRY4,FR,69.33333333,1,less_developed,"2007,2008,2009"
HR02,HR,45.33333333,1,less_developed,"2007,2008,2009"
HR03,HR,62.33333333,1,less_developed,"2007,2008,2009"
HR05,HR,111.3333333,0,more_developed,"2007,2008,2009"
HR06,HR,48.66666667,1,less_developed,"2007,2008,2009"
HU11,HU,139.3333333,0,more_developed,"2007,2008,2009"
HU12,HU,56.66666667,1,less_developed,"2007,2008,2009"
HU21,HU,56.66666667,1,less_developed,"2007,2008,2009"
HU22,HU,62.33333333,1,less_developed,"2007,2008,2009"
HU23,HU,42.66666667,1,less_developed,"2007,2008,2009"
HU31,HU,38.33333333,1,less_developed,"2007,2008,2009"
HU32,HU,39.66666667,1,less_developed,"2007,2008,2009"
HU33,HU,42.33333333,1,less_developed,"2007,2008,2009"
IE04,IE,89,0,transition,"2007,2008,2009"
IE05,IE,120.3333333,0,more_developed,"2007,2008,2009"
IE06,IE,170,0,more_developed,"2007,2008,2009"
ITC1,IT,114.3333333,0,more_developed,"2007,2008,2009"
ITC2,IT,145.6666667,0,more_developed,"2007,2008,2009"
ITC3,IT,119,0,more_developed,"2007,2008,2009"
ITC4,IT,141.6666667,0,more_developed,"2007,2008,2009"
ITF1,IT,92,0,more_developed,"2007,2008,2009"
ITF2,IT,86.33333333,0,transition,"2007,2008,2009"
ITF3,IT,72.66666667,1,less_developed,"2007,2008,2009"
ITF4,IT,69,1,less_developed,"2007,2008,2009"
ITF5,IT,80,0,transition,"2007,2008,2009"
ITF6,IT,67.33333333,1,less_developed,"2007,2008,2009"
ITG1,IT,71,1,less_developed,"2007,2008,2009"
ITG2,IT,79.66666667,0,transition,"2007,2008,2009"
ITH1,IT,155,0,more_developed,"2007,2008,2009"
ITH2,IT,140,0,more_developed,"2007,2008,2009"
ITH3,IT,119,0,more_developed,"2007,2008,2009"
ITH4,IT,114.6666667,0,more_developed,"2007,2008,2009"
ITH5,IT,129.6666667,0,more_developed,"2007,2008,2009"
ITI1,IT,114.3333333,0,more_developed,"2007,2008,2009"
ITI2,IT,103,0,more_developed,"2007,2008,2009"
ITI3,IT,104.3333333,0,more_developed,"2007,2008,2009"
ITI4,IT,137.6666667,0,more_developed,"2007,2008,2009"
LT01,LT,91.33333333,0,more_developed,"2007,2008,2009"
LT02,LT,50,1,less_developed,"2007,2008,2009"
LU00,LU,274.6666667,0,more_developed,"2007,2008,2009"
LV00,LV,54.66666667,1,less_developed,"2007,2008,2009"
ME00,ME,41,1,less_developed,"2007,2008,2009"
MK00,MK,33.66666667,1,less_developed,"2007,2008,2009"
MT00,MT,82,0,transition,"2007,2008,2009"
NL11,NL,161.6666667,0,more_developed,"2007,2008,2009"
NL12,NL,100,0,more_developed,"2007,2008,2009"
NL13,NL,104.6666667,0,more_developed,"2007,2008,2009"
NL21,NL,115,0,more_developed,"2007,2008,2009"
NL22,NL,117.6666667,0,more_developed,"2007,2008,2009"
NL23,NL,109.3333333,0,more_developed,"2007,2008,2009"
NL32,NL,175.3333333,0,more_developed,"2007,2008,2009"
NL34,NL,107.3333333,0,more_developed,"2007,2008,2009"
NL35,NL,163,0,more_developed,"fallback_<=2013:2010,2011,2012,2013"
NL36,NL,138.5,0,more_developed,"fallback_<=2013:2010,2011,2012,2013"
NL41,NL,135.3333333,0,more_developed,"2007,2008,2009"
NL42,NL,116.3333333,0,more_developed,"2007,2008,2009"
NO02,NO,101,0,more_developed,"2008,2009"
NO06,NO,118.5,0,more_developed,"2008,2009"
NO07,NO,112.5,0,more_developed,"2008,2009"
NO08,NO,162,0,more_developed,"2008,2009"
NO09,NO,117.5,0,more_developed,"2008,2009"
NO0A,NO,147.5,0,more_developed,"2008,2009"
PL21,PL,50.66666667,1,less_developed,"2007,2008,2009"
PL22,PL,60.33333333,1,less_developed,"2007,2008,2009"
PL41,PL,60.66666667,1,less_developed,"2007,2008,2009"
PL42,PL,50.33333333,1,less_developed,"2007,2008,2009"
PL43,PL,49.33333333,1,less_developed,"2007,2008,2009"
PL51,PL,62,1,less_developed,"2007,2008,2009"
PL52,PL,47.66666667,1,less_developed,"2007,2008,2009"
PL61,PL,48.33333333,1,less_developed,"2007,2008,2009"
PL62,PL,42,1,less_developed,"2007,2008,2009"
PL63,PL,55.33333333,1,less_developed,"2007,2008,2009"
PL71,PL,52.33333333,1,less_developed,"2007,2008,2009"
PL72,PL,45.33333333,1,less_developed,"2007,2008,2009"
PL81,PL,39.66666667,1,less_developed,"2007,2008,2009"
PL82,PL,40,1,less_developed,"2007,2008,2009"
PL84,PL,41.66666667,1,less_developed,"2007,2008,2009"
PL91,PL,123,0,more_developed,"2007,2008,2009"
PL92,PL,46.33333333,1,less_developed,"2007,2008,2009"
PT11,PT,66,1,less_developed,"2007,2008,2009"
PT15,PT,87,0,transition,"2007,2008,2009"
PT20,PT,73.33333333,1,less_developed,"2007,2008,2009"
PT30,PT,81.66666667,0,transition,"2007,2008,2009"
RO11,RO,45.33333333,1,less_developed,"2007,2008,2009"
RO12,RO,48,1,less_developed,"2007,2008,2009"
RO21,RO,30.66666667,1,less_developed,"2007,2008,2009"
RO22,RO,39.66666667,1,less_developed,"2007,2008,2009"
RO31,RO,41,1,less_developed,"2007,2008,2009"
RO32,RO,118.3333333,0,more_developed,"2007,2008,2009"
RO41,RO,37,1,less_developed,"2007,2008,2009"
RO42,RO,54.66666667,1,less_developed,"2007,2008,2009"
RS11,RS,75.66666667,0,transition,"2007,2008,2009"
RS12,RS,37.33333333,1,less_developed,"2007,2008,2009"
RS21,RS,25.66666667,1,less_developed,"2007,2008,2009"
RS22,RS,24.33333333,1,less_developed,"2007,2008,2009"
SE11,SE,180.6666667,0,more_developed,"2007,2008,2009"
SE12,SE,110,0,more_developed,"2007,2008,2009"
SE21,SE,111.3333333,0,more_developed,"2007,2008,2009"
SE22,SE,114.6666667,0,more_developed,"2007,2008,2009"
SE23,SE,123.6666667,0,more_developed,"2007,2008,2009"
SE31,SE,103,0,more_developed,"2007,2008,2009"
SE32,SE,112.3333333,0,more_developed,"2007,2008,2009"
SE33,SE,117.6666667,0,more_developed,"2007,2008,2009"
SI03,SI,71.66666667,1,less_developed,"2007,2008,2009"
SI04,SI,107.6666667,0,more_developed,"2007,2008,2009"
SK01,SK,173.3333333,0,more_developed,"2007,2008,2009"
SK02,SK,66.33333333,1,less_developed,"2007,2008,2009"
SK03,SK,56,1,less_developed,"2007,2008,2009"
SK04,SK,48.66666667,1,less_developed,"2007,2008,2009"
TR10,TR,81.66666667,0,transition,"2007,2008,2009"
TR21,TR,58,1,less_developed,"2007,2008,2009"
TR22,TR,44.66666667,1,less_developed,"2007,2008,2009"
TR31,TR,56.66666667,1,less_developed,"2007,2008,2009"
TR32,TR,44,1,less_developed,"2007,2008,2009"
TR33,TR,38.66666667,1,less_developed,"2007,2008,2009"
TR41,TR,57.66666667,1,less_developed,"2007,2008,2009"
TR42,TR,64,1,less_developed,"2007,2008,2009"
TR51,TR,72.66666667,1,less_developed,"2007,2008,2009"
TR52,TR,36,1,less_developed,"2007,2008,2009"
TR61,TR,55,1,less_developed,"2007,2008,2009"
TR62,TR,37.33333333,1,less_developed,"2007,2008,2009"
TR63,TR,29.33333333,1,less_developed,"2007,2008,2009"
TR71,TR,32,1,less_developed,"2007,2008,2009"
TR72,TR,36.66666667,1,less_developed,"2007,2008,2009"
TR81,TR,32.33333333,1,less_developed,"2007,2008,2009"
TR82,TR,36.33333333,1,less_developed,"2007,2008,2009"
TR83,TR,31.33333333,1,less_developed,"2007,2008,2009"
TR90,TR,33,1,less_developed,"2007,2008,2009"
TRA1,TR,29.66666667,1,less_developed,"2007,2008,2009"
TRA2,TR,18.33333333,1,less_developed,"2007,2008,2009"
TRB1,TR,27.66666667,1,less_developed,"2007,2008,2009"
TRB2,TR,17.66666667,1,less_developed,"2007,2008,2009"
TRC1,TR,26.66666667,1,less_developed,"2007,2008,2009"
TRC2,TR,20.33333333,1,less_developed,"2007,2008,2009"
TRC3,TR,21,1,less_developed,"2007,2008,2009"
