outcome,model,term,coef,std_err,t_stat,p_value,ci_95_lower,ci_95_upper,n_obs,n_regions,fe_type,clustering,sample_year_min,sample_year_max,controls_used
gdp_pc_real_growth,Model A,erdf_eur_pc_l1,0.005679637106,0.003024505711,1.877872832,0.06039856376,-0.0002482851593,0.01160755937,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model A,unemp_rate,-0.6454812471,0.08305408195,-7.771818457,7.736728186e-15,-0.8082642565,-0.4826982377,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model A,emp_rate,-0.3115721066,0.09751804853,-3.19501991,0.001398211946,-0.5027039696,-0.1204402436,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model A,tertiary_share_25_64,-0.1962498084,0.09224641667,-2.127451835,0.03338255918,-0.3770494628,-0.01545015406,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model A,rd_gerd,-0.7808680783,0.5381569732,-1.451004293,0.1467786648,-1.835636364,0.2739002072,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model A,gva,0.1436714596,0.03556293034,4.039921858,5.346901313e-05,0.07396939694,0.2133735222,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model B,erdf_eur_pc_l1,0.003361760426,0.00288822826,1.163952473,0.2444432728,-0.002299062943,0.009022583794,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model B,unemp_rate,0.01057799808,0.1042821704,0.1014363053,0.9192041176,-0.1938113001,0.2149672963,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model B,emp_rate,-0.04065993832,0.1239188826,-0.3281173737,0.7428229182,-0.2835364853,0.2022166086,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model B,tertiary_share_25_64,-0.1017202869,0.1017360215,-0.9998453393,0.3173853604,-0.3011192249,0.09767865111,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model B,rd_gerd,-0.5399941294,0.6018257076,-0.8972599916,0.3695801999,-1.719550841,0.6395625825,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model B,gva,0.220716297,0.06513402559,3.388648175,0.0007023806789,0.09305595265,0.3483766413,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model A (two-way cluster),erdf_eur_pc_l1,0.005679637106,0.004452210428,1.275689278,0.2020653803,-0.003046534984,0.0144058092,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model A (two-way cluster),unemp_rate,-0.6454812471,0.1229063852,-5.251812149,1.506100256e-07,-0.8863733356,-0.4045891586,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model A (two-way cluster),emp_rate,-0.3115721066,0.1563136472,-1.993249548,0.04623412792,-0.6179412253,-0.005202987887,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model A (two-way cluster),tertiary_share_25_64,-0.1962498084,0.1002436447,-1.957728184,0.05026191627,-0.3927237417,0.0002241247956,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model A (two-way cluster),rd_gerd,-0.7808680783,0.6456535751,-1.209422682,0.2265004989,-2.046325832,0.4845896753,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model A (two-way cluster),gva,0.1436714596,0.04642995379,3.094370075,0.001972312991,0.05267042234,0.2346724968,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model B (two-way cluster),erdf_eur_pc_l1,0.003361760426,0.00330013263,1.018674339,0.3083575989,-0.003106380673,0.009829901525,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model B (two-way cluster),unemp_rate,0.01057799808,0.1114926568,0.09487618625,0.9244131718,-0.2079435939,0.22909959,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model B (two-way cluster),emp_rate,-0.04065993832,0.1151831259,-0.3530025602,0.7240865212,-0.2664147166,0.18509484,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model B (two-way cluster),tertiary_share_25_64,-0.1017202869,0.07110929018,-1.430478165,0.1525798284,-0.2410919346,0.03765136082,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model B (two-way cluster),rd_gerd,-0.5399941294,0.4245978079,-1.271777949,0.2034520258,-1.372190541,0.2922022821,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model B (two-way cluster),gva,0.220716297,0.09830348395,2.245254065,0.02475182706,0.02804500888,0.4133875851,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model A,erdf_eur_pc_l1,0.002522470735,0.003616793691,0.6974328511,0.4855319487,-0.004566314638,0.009611256108,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model A,unemp_rate,-0.7809696852,0.09943584836,-7.854005352,4.02957079e-15,-0.9758603667,-0.5860790036,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model A,emp_rate,-0.2659612805,0.1420134062,-1.872789954,0.06109739578,-0.5443024419,0.01237988102,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model A,tertiary_share_25_64,-0.1792848094,0.1036710886,-1.729361694,0.08374438124,-0.3824764092,0.02390679044,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model A,rd_gerd,-1.131816326,0.6406333613,-1.76671462,0.07727603364,-2.387434641,0.1238019899,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model A,gva,0.1290714788,0.03147310733,4.101008439,4.113535556e-05,0.06738532192,0.1907576356,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model B,erdf_eur_pc_l1,0.001133896896,0.002850730732,0.3977565762,0.690809629,-0.004453432668,0.00672122646,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model B,unemp_rate,-0.05017591725,0.1260234419,-0.3981474914,0.6905214688,-0.2971773246,0.1968254901,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model B,emp_rate,0.002068648789,0.1247783856,0.01657858274,0.9867728107,-0.242492493,0.2466297905,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model B,tertiary_share_25_64,-0.1157390335,0.09259405887,-1.249961768,0.2113135139,-0.2972200541,0.06574198707,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model B,rd_gerd,-0.9322303909,0.6050248812,-1.540813312,0.1233622287,-2.118057368,0.2535965861,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model B,gva,0.187737905,0.05331640436,3.521203413,0.0004295929355,0.08323967269,0.2922361373,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model A (two-way cluster),erdf_eur_pc_l1,0.002522470735,0.005922516468,0.4259119834,0.6701719826,-0.009085448239,0.01413038971,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model A (two-way cluster),unemp_rate,-0.7809696852,0.1487850292,-5.248980287,1.529434389e-07,-1.072582984,-0.4893563866,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model A (two-way cluster),emp_rate,-0.2659612805,0.2091208511,-1.271806609,0.2034418403,-0.675830617,0.1439080561,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model A (two-way cluster),tertiary_share_25_64,-0.1792848094,0.1004647759,-1.784553917,0.07433370185,-0.3761921519,0.0176225331,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model A (two-way cluster),rd_gerd,-1.131816326,0.7095726668,-1.595067537,0.110697134,-2.522553197,0.2589205457,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model A (two-way cluster),gva,0.1290714788,0.04480267019,2.880888086,0.003965564194,0.04125985879,0.2168830988,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model B (two-way cluster),erdf_eur_pc_l1,0.001133896896,0.004032923926,0.2811600012,0.7785876821,-0.006770488751,0.009038282543,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model B (two-way cluster),unemp_rate,-0.05017591725,0.1066914785,-0.4702898298,0.6381479626,-0.2592873725,0.158935538,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model B (two-way cluster),emp_rate,0.002068648789,0.1219145735,0.01696801891,0.9864621293,-0.2368795245,0.2410168221,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model B (two-way cluster),tertiary_share_25_64,-0.1157390335,0.0609071664,-1.900253128,0.05739990917,-0.235114886,0.00363681905,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model B (two-way cluster),rd_gerd,-0.9322303909,0.423645061,-2.200498664,0.02777153461,-1.762559453,-0.101901329,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model B (two-way cluster),gva,0.187737905,0.08113498402,2.313895877,0.02067343433,0.02871625845,0.3467595516,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model A,erdf_eur_pc_l1,0.002074502476,0.00365687657,0.5672880766,0.5705184765,-0.005092843897,0.009241848848,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model A,unemp_rate,-0.6406691583,0.1215391145,-5.271300198,1.354606977e-07,-0.8788814455,-0.4024568712,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model A,emp_rate,-0.1634892581,0.1263921748,-1.293507754,0.1958355041,-0.4112133685,0.0842348524,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model A,tertiary_share_25_64,-0.1666889687,0.107355396,-1.552683656,0.1204987288,-0.3771016784,0.04372374093,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model A,rd_gerd,-0.5695753587,0.6065081259,-0.9391058987,0.347676376,-1.758309442,0.6191587245,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model A,gva,0.1193434594,0.03073186437,3.883378438,0.0001030150452,0.0591101121,0.1795768068,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model B,erdf_eur_pc_l1,0.003646392781,0.00418338627,0.871636647,0.3834066317,-0.004552893641,0.0118456792,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model B,unemp_rate,-0.05820675813,0.1656585211,-0.3513659166,0.7253138489,-0.3828914933,0.266477977,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model B,emp_rate,-0.04216565734,0.1480656333,-0.2847768007,0.775815147,-0.332368966,0.2480376513,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model B,tertiary_share_25_64,-0.1187610607,0.08914702447,-1.33219321,0.1827967071,-0.293486018,0.05596389657,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model B,rd_gerd,-0.6869996491,0.5941152697,-1.15634067,0.2475418391,-1.85144418,0.4774448821,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model B,gva,0.2002048319,0.05347405993,3.743961693,0.0001811412824,0.09539760037,0.3050120635,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model A (two-way cluster),erdf_eur_pc_l1,0.002074502476,0.004853817178,0.4273960884,0.669090856,-0.00743880438,0.01158780933,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model A (two-way cluster),unemp_rate,-0.6406691583,0.1382166561,-4.635252916,3.565013261e-06,-0.9115688264,-0.3697694903,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model A (two-way cluster),emp_rate,-0.1634892581,0.1362844945,-1.199617452,0.2302879456,-0.430601959,0.1036234429,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model A (two-way cluster),tertiary_share_25_64,-0.1666889687,0.1643543309,-1.014204906,0.3104849882,-0.4888175381,0.1554396006,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model A (two-way cluster),rd_gerd,-0.5695753587,0.4154190933,-1.371086134,0.1703481069,-1.38378182,0.2446311028,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model A (two-way cluster),gva,0.1193434594,0.04729651307,2.523303552,0.01162579973,0.02664399722,0.2120429217,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model B (two-way cluster),erdf_eur_pc_l1,0.003646392781,0.005674903019,0.6425471535,0.5205179832,-0.007476212751,0.01476899831,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model B (two-way cluster),unemp_rate,-0.05820675813,0.1160855792,-0.5014124797,0.6160808587,-0.2857303125,0.1693167962,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model B (two-way cluster),emp_rate,-0.04216565734,0.1427858235,-0.2953070291,0.7677593474,-0.3220207289,0.2376894143,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model B (two-way cluster),tertiary_share_25_64,-0.1187610607,0.06308692555,-1.882498785,0.05976832467,-0.2424091627,0.004887041264,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model B (two-way cluster),rd_gerd,-0.6869996491,0.3955830893,-1.73667598,0.08244437992,-1.462328257,0.08832895881,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model B (two-way cluster),gva,0.2002048319,0.08010011659,2.499432466,0.01243924058,0.04321148827,0.3571981756,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
